,loss,accuracy,precision,recall,f1,model,pretraining,n_iter
0,6.317706625061199,0.8901348116394352,0.8713160854873536,0.9281092739014424,0.8988164307243007,Large Model,1000,1
1,0.060880114179617806,0.8847171475346234,0.8749999999979857,0.9108554996383637,0.892567805563244,Large Model,1000,2
2,0.02297222540281041,0.8824492881419115,0.8722426470568193,0.9096573208700943,0.8905571847486439,Large Model,1000,3
3,0.01745984608363038,0.8829532568958475,0.8721890775565118,0.9108554996383637,0.8911030359843135,Large Model,1000,4
4,0.014030565649813198,0.8799294443722315,0.8694355208791431,0.9079798705945172,0.8882897667310086,Large Model,1000,5
0,6.943340123632282,0.8824492881419115,0.8702010968901503,0.9125329499139407,0.8908644285860549,Large Model,50,1
1,0.06651110100744972,0.8785435302989075,0.8687658009632987,0.9058231488116324,0.8869075551363518,Large Model,50,2
2,0.025982914816353286,0.8726218974401597,0.8646217712157181,0.8983944404483624,0.8811846280388267,Large Model,50,3
3,0.020263687501265837,0.8709839989898678,0.8627044459782016,0.8974358974337469,0.8797275076324179,Large Model,50,4
4,0.016460628348808903,0.8687161395971559,0.860133425348838,0.8959980829118237,0.8776995305143717,Large Model,50,5
0,8.119909369508889,0.8787955146758756,0.8715575098336692,0.9024682482604782,0.8867435837040576,Large Model,0,1
1,0.07218863619982585,0.8774096006025516,0.8659652333008555,0.9072609633335555,0.8861322410745789,Large Model,0,2
2,0.02733278840901221,0.8737558271365157,0.8654067757527878,0.8998322549702856,0.8822838345843932,Large Model,0,3
3,0.0220614181543084,0.8687161395971559,0.8619653179170822,0.8933620896216311,0.8773829136246708,Large Model,0,4
4,0.018502277131613454,0.8683381630317039,0.8615349052222341,0.8931224538679772,0.8770443581577196,Large Model,0,5
0,6.810035383858846,0.8733778505710637,0.8664969921312669,0.8974358974337469,0.8816951147713203,Blank Model,1000,1
1,0.06643143357072745,0.8684641552201878,0.8642607683332614,0.8895279175631692,0.8767123287650528,Blank Model,1000,2
2,0.02548202457840887,0.8679601864662518,0.8617735586921469,0.8919242750997078,0.8765897315099468,Blank Model,1000,3
3,0.01921187464837537,0.8689681239741238,0.8615278098295372,0.8945602683899004,0.8777333646816889,Blank Model,1000,4
4,0.01569824313092827,0.8668262567698959,0.8596491228050331,0.8924035466070156,0.8757201646069942,Blank Model,1000,5
0,8.1367847629473,0.862794506738408,0.8525377229061442,0.8936017253752849,0.8725868725848306,Blank Model,50,1
1,0.0762380513909875,0.86065263953418,0.8555529793627277,0.884255930982784,0.8696676879545848,Blank Model,50,2
2,0.029844469841577848,0.8577548191990482,0.8557737260382053,0.8773064941268217,0.8664063424426307,Blank Model,50,3
3,0.02390938003844667,0.8554869598063362,0.8553311413789213,0.8727534148073982,0.8639544537993976,Blank Model,50,4
4,0.017435074330856892,0.8585107723299521,0.8535002318014523,0.882338844953553,0.8676799811455927,Blank Model,50,5
0,9.956663232277606,0.8495653269475884,0.832255186257345,0.8940809968825927,0.8620609981495793,Blank Model,0,1
1,0.08529204443505023,0.8538490613560442,0.8494548828558351,0.8775461298804755,0.8632720414878281,Blank Model,0,2
2,0.03217913010698226,0.8533450926021082,0.8504542278107374,0.874910136590283,0.8625088589632354,Blank Model,0,3
3,0.025293724397002393,0.8506992566439443,0.8493919550962362,0.8703570572708594,0.8597467155856084,Blank Model,0,4
4,0.019912858100770592,0.8460375456700364,0.8453077463120868,0.865564342197782,0.8553161259747682,Blank Model,0,5
